n, p, rho_spec, rho_supp, alpha_scnr, inst, status, sol_time
5,1,0.040,0.30,1,1,solved,0.031
5,1,0.040,0.30,1,2,solved,0.062
5,1,0.040,0.30,1,3,solved,0.078
5,1,0.040,0.30,1,4,solved,0.016
5,1,0.040,0.30,1,5,solved,0.047
5,1,0.040,0.30,2,1,solved,0.016
5,1,0.040,0.30,2,2,solved,0.016
5,1,0.040,0.30,2,3,solved,0.000
5,1,0.040,0.30,2,4,solved,0.016
5,1,0.040,0.30,2,5,solved,0.016
5,1,0.040,0.30,3,1,solved,0.016
5,1,0.040,0.30,3,2,solved,0.031
5,1,0.040,0.30,3,3,solved,0.172
5,1,0.040,0.30,3,4,infeasible,0.000
5,1,0.040,0.30,3,5,infeasible,0.000
5,1,0.040,0.30,4,1,solved,0.047
5,1,0.040,0.30,4,2,solved,0.016
5,1,0.040,0.30,4,3,solved,0.172
5,1,0.040,0.30,4,4,solved,0.172
5,1,0.040,0.30,4,5,solved,0.062
5,1,0.040,0.50,1,1,solved,0.031
5,1,0.040,0.50,1,2,solved,0.078
5,1,0.040,0.50,1,3,solved,0.500
5,1,0.040,0.50,1,4,solved,0.500
5,1,0.040,0.50,1,5,solved,0.406
5,1,0.040,0.50,2,1,solved,0.391
5,1,0.040,0.50,2,2,solved,0.375
5,1,0.040,0.50,2,3,solved,0.016
5,1,0.040,0.50,2,4,solved,0.234
5,1,0.040,0.50,2,5,solved,0.031
5,1,0.040,0.50,3,1,solved,0.188
5,1,0.040,0.50,3,2,solved,0.047
5,1,0.040,0.50,3,3,solved,0.031
5,1,0.040,0.50,3,4,solved,0.031
5,1,0.040,0.50,3,5,solved,0.016
5,1,0.040,0.50,4,1,solved,0.188
5,1,0.040,0.50,4,2,solved,0.016
5,1,0.040,0.50,4,3,solved,0.062
5,1,0.040,0.50,4,4,solved,1.234
5,1,0.040,0.50,4,5,solved,0.312
5,1,0.040,0.70,1,1,solved,0.016
5,1,0.040,0.70,1,2,solved,0.031
5,1,0.040,0.70,1,3,solved,0.062
5,1,0.040,0.70,1,4,solved,0.016
5,1,0.040,0.70,1,5,solved,0.203
5,1,0.040,0.70,2,1,solved,0.203
5,1,0.040,0.70,2,2,solved,0.047
5,1,0.040,0.70,2,3,solved,0.203
5,1,0.040,0.70,2,4,solved,0.031
5,1,0.040,0.70,2,5,solved,0.125
5,1,0.040,0.70,3,1,solved,0.031
5,1,0.040,0.70,3,2,solved,0.031
